id,no,solarEst,location_checked,school_name,school_address,subdistrict,district,province,total_students,school_region,school_affiliation,school_district,electricity_provider,power_rate,ca,operation_status,contact_email,school_contact_name,school_contact_position,school_contact_phone,school_director,electricity_avg_month,investor_name,cover_sheet_no,cover_sheet_date,moe_doc_no,moe_doc_date,pea_no,pea_date,book_no,book_date,moe_proposal_no,proposal_date,simulation,latitude,longitude,status,activity,meter,total_kw_pk,esco_understanding_score,score_cooperation,score_decision_power,score_data_readiness,score_electricity_arrears,note_school,score_install_area,score_roof_material,score_structure,score_connection_wiring,score_site_access,note_site,score_total,link_invitation,link_acceptance,link_proposal,post_code,school_director_phone,kw_pk,$id,$createdAt,$updatedAt,$permissions,$databaseId,$collectionId
1,410,140,,โรงเรียนสามพรานวิทยา,ม.5 40/9,ยายชา,สามพราน,นครปฐม,1257,กลาง,สพม.นครปฐม,,กฟก.3,8114,20026762408,,,,,,,62944.72,SJP,,,,,,,,,,,,13.7418629,100.2130566,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20026762408\"",\""kw_pk\"":\""134.95\"",\""rate\"":\""8114\""}""]",134.95,,,,,,,,,,,,,0,,,,73110,,134.95,689b438500388e3717a2,2025-08-12T13:37:11.046+00:00,2025-08-14T09:42:15.902+00:00,[],68582a4f0000f4e6e0a7,school
2,721,70,,โรงเรียนอนุบาลมหาสารคาม,โรงเรียนอนุบาลมหาสารคาม,ตลาด,เมืองมหาสารคาม,มหาสารคาม,2706,ตะวันออกเฉียงเหนือ,สพป.มหาสารคาม,1,กฟฉ.2,8114,20026782162,,,,,,,56707.79,i2,,,,,,,,,,,,16.1859911,103.2969149,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20026782162\"",\""kw_pk\"":\""60.8\"",\""rate\"":\""8114\""}""]",60.8,,,,,,,,,,,,,,,,,44000,,60.8,689b438600172cac5e7a,2025-08-12T13:37:11.903+00:00,2025-08-22T02:26:16.489+00:00,[],68582a4f0000f4e6e0a7,school
3,841,50,,โรงเรียนเฉลิมพระเกียรติ 48 พรรษา,5 ม.9,ต้นธง,เมืองลำพูน,ลำพูน,,เหนือ,มูลนิธิร่วมน้ำใจต้านภัยเอดส์,,กฟน.1,6124,20004482085,,,,,,,49028.56,i2,,,,,,,,,,,,18.54102,98.9442745,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20004482085\"",\""kw_pk\"":\""43.76\"",\""rate\"":\""6124\""}""]",43.76,,,,,,,,,,,,,,,,,51000,,43.76,689b4387000fd076cbfc,2025-08-12T13:37:12.289+00:00,2025-08-22T02:26:46.711+00:00,[],68582a4f0000f4e6e0a7,school
4,1130,40,,โรงเรียนศูนย์พลาญข่อย,ม.2,โนนก่อ,สิรินธร,อุบลราชธานี,,ตะวันออกเฉียงเหนือ,สช.,,กฟฉ.2,6124,20012456305,,,,,,,59818.03,i2,,,,,,,,,,,,15.0962633,105.4516191,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20012456305\"",\""kw_pk\"":\""35.33\"",\""rate\"":\""6124\""}""]",35.33,,,,,,,,,,,,,,,,,34350,,35.33,689b43870025de5bf91e,2025-08-12T13:37:12.983+00:00,2025-08-22T02:27:18.022+00:00,[],68582a4f0000f4e6e0a7,school
5,205,350,,โรงเรียนวัดดอนทอง,ม.12,บางตีนเป็ด,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,2891,ตะวันออก,สพป.ฉะเชิงเทรา,1,กฟก.2,4224,20002019033,,,,,,,270661.13,SJP,,,,,,,,,,,,13.6679384,101.0985695,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20002019033\"",\""kw_pk\"":\""346.4\"",\""rate\"":\""4224\""}""]",346.4,,,,,,,,,,,,,,,,,24000,,346.4,689b4388001b407a2b0c,2025-08-12T13:37:13.394+00:00,2025-08-22T02:27:47.864+00:00,[],68582a4f0000f4e6e0a7,school
6,360,70,,โรงเรียนเทศบาลวัดชุมพลคีรี,117/1 ถ.สวรรค์วิถี,แม่สอด,แม่สอด,ตาก,,ตะวันตก,เทศบาลนคร,,กฟน.2,4224,20010227705,,,,,,,47694.99,i2,,,,,,,,,,,,16.7196706,98.5659178,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20010227705\"",\""kw_pk\"":\""63.067\"",\""rate\"":\""4224\""}""]",63.067,,,,,,,,,,,,,,,,,63110,,63.07,689b4388003046f17b39,2025-08-12T13:37:13.730+00:00,2025-08-22T02:28:55.981+00:00,[],68582a4f0000f4e6e0a7,school
7,373,1620,,โรงเรียนเตรียมทหาร,9 หมู่ 10,ศรีกะอาง,บ้านนา,นครนายก,,กลาง,กองบัญชาการทหารสูงสุด,,กฟก.1,4224,20000426329,,,,,,,1854459.81,SJP,,,,,,,,,,,,14.3028513,101.1320385,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20000426329\"",\""kw_pk\"":\""1616.5\"",\""rate\"":\""4224\""}""]",1616.5,,,,,,,,,,,,,,,,,26110,,1616.5,689b438900022608bfa9,2025-08-12T13:37:13.995+00:00,2025-08-22T02:29:25.288+00:00,[],68582a4f0000f4e6e0a7,school
8,374,380,,โรงเรียนนายร้อยพระจุลจอมเกล้า,ม.13,พรหมณี,เมืองนครนายก,นครนายก,,กลาง,กองทัพบก,,,4224,20000555291,,,,,,,272717.03,SJP,,,,,,,,,,,,14.2813364,101.1632975,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20000555291\"",\""kw_pk\"":\""372.85\"",\""rate\"":\""4224\""}"",""{\""ca\"":\""20000573660\"",\""kw_pk\"":\""390.48\"",\""rate\"":\""4224\""}"",""{\""ca\"":\""20000573672\"",\""kw_pk\"":\""60.2\"",\""rate\"":\""4224\""}"",""{\""ca\"":\""20000555297\"",\""kw_pk\"":\""79.9\"",\""rate\"":\""3224\""}"",""{\""ca\"":\""20000573666\"",\""kw_pk\"":\""231.1\"",\""rate\"":\""3224\""}""]",1134.53,,,,,,,,,,,,,0,,,,26000,,372.85,689b43890012a29e2762,2025-08-12T13:37:14.253+00:00,2025-08-22T02:30:17.220+00:00,[],68582a4f0000f4e6e0a7,school
9,376,400,,โรงเรียนนายร้อยพระจุลจอมเกล้า,ตำบลพรหมณี ถ.สุวรรณศร,พรหมณี,เมืองนครนายก,นครนายก,,กลาง,กองทัพบก,,กฟก.1,4224,20000573660,,,,,,,1001256.78,SJP,,,,,,,,,,,,14.2813364,101.1632975,[],[],[],,,,,,,,,,,,,,,,,,26000,,390.48,689b43890022f31c8108,2025-08-12T13:37:14.522+00:00,2025-08-12T13:37:14.522+00:00,[],68582a4f0000f4e6e0a7,school
10,378,70,,โรงเรียนนายร้อยพระจุลจอมเกล้า,ตำบลพรหมณี,พรหมณี,เมืองนครนายก,นครนายก,,กลาง,กองทัพบก,,กฟก.1,4224,20000573672,,,,,,,104121.69,SJP,,,,,,,,,,,,14.2813364,101.1632975,[],[],[],,,,,,,,,,,,,,,,,,26000,,60.2,689b4389003881220a98,2025-08-12T13:37:14.868+00:00,2025-08-12T13:37:14.868+00:00,[],68582a4f0000f4e6e0a7,school
11,387,1080,,โรงเรียนการบินกำแพงแสน,มิเตอร์ประธาน ม.6,กระตีบ,กำแพงแสน,นครปฐม,,กลาง,กองทัพอากาศ,,กฟก.3,4224,20003275551,,,,,,,1983421.02,SJP,,,,,,,,,,,,14.0984994,99.9272593,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20003275551\"",\""kw_pk\"":\""1077.56\"",\""rate\"":\""4224\""}""]",1077.56,,,,,,,,,,,,,,,,,73180,,1077.56,689b438a000ac43c7e09,2025-08-12T13:37:15.130+00:00,2025-08-22T02:30:41.101+00:00,[],68582a4f0000f4e6e0a7,school
12,560,1030,,โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,69 พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,5125,กลาง,สพม.ปทุมธานี,,กฟก.1,4224,20001087042,"รอนัด ผอ.
08/08/2025- เซ็นสัญญากับการไฟฟ้าฝ่ายผลิตไปแล้ว รอติดตั้ง",,นายจักนรินทร์ สีนวล,หัวหน้างานสาธารณูปโภค,065-9194784,นายเจริญ บัวลี,,I2,๕๓๐๓.๑๐/๕๒๔๑๔,2024-08-26,๐๔๓๑๔.๑๑/๑๔๓,2024-02-02,797,2024-02-28,,,,,Nop,,,"[""{\""status\"":\""ตอบรับเข้าร่วมโครงการ\"",\""date\"":\""2024-02-02\""}"",""{\""status\"":\""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา\"",\""date\"":\""2024-08-26\""}"",""{\""status\"":\""นำเสนอข้อเสนอโครงการ\"",\""date\"":\""2024-08-27\""}"",""{\""status\"":\""ยกเลิก เข้าร่วมกับที่อื่นแล้ว\"",\""date\"":\""2025-08-08\""}""]","[""{\""activity\"":\""รอส่งหนังสือขอเข้าชี้แจง\"",\""date\"":\""\""}"",""{\""activity\"":\""ติดตามสถานะโรงเรียนพิจารณาข้อเสนอ\"",\""date\"":\""2024-08-27\""}"",""{\""activity\"":\""ยกเลิกไม่ทำโครงการ\"",\""date\"":\""2025-08-08\""}""]","[""{\""ca\"":\""20001087042\"",\""kw_pk\"":\""1058.4\"",\""rate\"":\""4224\""}""]",1058.4,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_alphaiall_com/Em-UhgwnjPRNn0jZwYZzHRMBDHIWS8ybwibJ1FX298ravA?e=7WuVPm,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_alphaiall_com/EZskpfreTthChby4NblowhYBuVvDdKgLtcuwhU0wjNY0Xg?e=Q7ruN9,,12120,,1058.4,689b438a001b280cca0c,2025-08-12T13:37:15.394+00:00,2025-08-18T06:18:42.384+00:00,[],68582a4f0000f4e6e0a7,school
13,570,190,1,โรงเรียนประถมศึกษาธรรมศาสตร์,111 หมู่ 18,คลองหนึ่ง,คลองหลวง,ปทุมธานี,1896,กลาง,สพป.ปทุมธานี,1,กฟก.1,4224,20016329290,,,นายจงรัก สัมฤทธิ์,ครู,088-7287343,นายทินกร คุ้มวงษ์,156281.99,I2,๕๓๐๓.๑๐/๕๒๗๐๗,2024-08-27,๐๔๐๘๖.๐๓๙/๘๗,2024-01-08,796,2024-02-28,4560,2024-09-17,๐๔๐๘๖.๐๓๙/๖๗๕,2024-09-11,Nop,14.077272,100.599305,"[""{\""status\"":\""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา\"",\""date\"":\""2024-08-27\""}"",""{\""status\"":\""นำเสนอข้อเสนอโครงการ\"",\""date\"":\""2024-08-28\""}"",""{\""status\"":\""ตอบรับร่างสัญญาโครงการ\"",\""date\"":\""2024-09-11\""}"",""{\""status\"":\""ชี้แจงโครงการ+สำรวจ\"",\""date\"":\""2025-06-30\""}""]","[""{\""activity\"":\""ส่งหนังสือเชิญ-ไปรษณีย์\"",\""date\"":\""\""}"",""{\""activity\"":\""ติดตามสถานะโรงเรียนพิจารณาข้อเสนอ\"",\""date\"":\""2024-08-28\""}"",""{\""activity\"":\""ติดตามตามเอกสารรอเซ็นต์สัญญา\"",\""date\"":\""2024-09-11\""}"",""{\""activity\"":\""ประเมินโครงการ+เตรียมทำข้อเสนอ\"",\""date\"":\""2025-07-02\""}""]","[""{\""ca\"":\""20016329290\"",\""kw_pk\"":\""183.82\"",\""rate\"":\""4224\""}""]",183.82,4,4,4,4,5,,2,2,2,2,2,,62,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_alphaiall_com/Eg0DCsBbpCdOkT8RKDfs6J0BtFijB8nGqBl51cstjgrmUw?e=36m8sC,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_alphaiall_com/Eeppj3U-ObpKjb32CFczZc0BZS13lFa8tXBTM_gWQbmEtQ?e=nUX9gm,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_alphaiall_com/EllWrSgXPXJHpw-ZpUaMXZ8Bm_jWvcR6BMKe1BjPTDLOGw?e=zW2ko6,12120,,183.82,689b438a002bf20b2caa,2025-08-12T13:37:15.889+00:00,2025-08-22T02:31:32.141+00:00,[],68582a4f0000f4e6e0a7,school
14,585,660,,โรงเรียนสามโคก,1/1 หมู่ 3,บ้านงิ้ว,สามโคก,ปทุมธานี,,กลาง,อบจ.,,กฟก.1,4224,20000959869,ส่งหนังสือเชิญ เรียนถึงผู้อำนวยการ,,,,,,,#N/A,,,,,,,,,,,,14.0852689,100.5351409,"[""{\""status\"":\""สนใจนำเสนอโครงการ\"",\""date\"":\""2025-03-14\""}""]","[""{\""activity\"":\""ส่งหนังสือเชิญ-ไปรษณีย์\"",\""date\"":\""2025-03-14\""}""]","[""{\""ca\"":\""20000959869\"",\""kw_pk\"":\""655.25\"",\""rate\"":\""4224\""}""]",655.25,,,,,,,,,,,,,,,,,12160,081-193-8726 หรือ 029798534,655.25,689b438b000c88947ac1,2025-08-12T13:37:16.154+00:00,2025-08-22T02:32:01.973+00:00,[],68582a4f0000f4e6e0a7,school
15,598,600,,โรงเรียนนายสิบทหารบก,เลขที่ 8 ค่ายโยธินศึกษามหามงกุฎ ถนนเพชรเกษม,หนองแก,หัวหิน,ประจวบคีรีขันธ์,,ตะวันตก,กองทัพบก,,กฟต.1,4224,20018619009,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,#N/A,,,,,,,,,,,,12.4936062,99.9656661,"[""{\""status\"":\""ยกเลิก เข้าร่วมกับที่อื่นแล้ว\"",\""date\"":\""\""}""]","[""{\""activity\"":\""ยกเลิกไม่ทำโครงการ\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20018619009\"",\""kw_pk\"":\""594.31\"",\""rate\"":\""4224\""}""]",594.31,,,,,,,,,,,,,,,,,77110,,594.31,689b438b001be3cff009,2025-08-12T13:37:16.401+00:00,2025-08-22T02:32:30.094+00:00,[],68582a4f0000f4e6e0a7,school
16,607,370,,โรงเรียนเตรียมพุทธศาสตร์,142,บ้านนา,กบินทร์บุรี,ปราจีนบุรี,,ตะวันออก,พศ.,,กฟก.1,4224,20000900675,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,089-1606672,,,#N/A,,,,,,,,,,,,14.0020063,101.9139628,"[""{\""status\"":\""\"",\""date\"":\""\""}""]","[""{\""activity\"":\""ติดต่อไม่ได้\"",\""date\"":\""2024-11-25\""}""]","[""{\""ca\"":\""20000900675\"",\""kw_pk\"":\""369.33\"",\""rate\"":\""4224\""}""]",369.33,,,,,,,,,,,,,,,,,25110,,369.33,689b438b002d216be7c0,2025-08-12T13:37:16.691+00:00,2025-08-22T02:32:56.769+00:00,[],68582a4f0000f4e6e0a7,school
17,716,150,,โรงเรียนผดุงนารี,,ตลาด,เมืองมหาสารคาม,มหาสารคาม,3688,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,4224,20011862015,,,นางสุรางค์ ซ้ายสนาม,ครู,086-8583683,นายพีรนนท์ เหล่าสมบัติ,127353.9,i2,,,๐๔๓๒๗.๐๑๐๒/๕๑๓,2024-07-03,3340,2024-07-08,,,,,,16.1826731,103.3024622,"[""{\""status\"":\""ตอบรับเข้าร่วมโครงการ\"",\""date\"":\""2024-07-03\""}""]","[""{\""activity\"":\""\"",\""date\"":\""\""}""]","[""{\""ca\"":\""20011862015\"",\""kw_pk\"":\""144.01\"",\""rate\"":\""4224\""}""]",144.01,,,,,,,,,,,,,0,,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_alphaiall_com/EQQ6YtIpbKBApHP07KHyAgMBa1IrttA_0aal_t-bIgX5Bw?e=rXTd0Q,,44000,,144.01,689b438c0011058b742a,2025-08-12T13:37:17.470+00:00,2025-08-18T06:18:41.186+00:00,[],68582a4f0000f4e6e0a7,school
