id,ลำดับ,ประมาณการติดตั้ง Solar cell,KW_PK,ตรวจสอบสถานที่,ชื่อโรงเรียน,ที่อยู่,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,รหัสไปรษณีย์,จำนวนนักเรียน,ภาค,สังกัด,เขต,กฟภ,อัตรา,CA,Status,status_date,activity,activity_date,การติดต่อ 15%,การเจรจา 30%,ความสนใจ 30%,กำลังติดตั้ง 25%,Score 10คะแนน,การดำเนินงาน,E-mail,วันที่ดำเนินการ,ดำเนินการโดย,ชื่อผู้ประสานงานโรงเรียน,ตำแหน่ง,เบอร์ติดต่อผู้ประสานงาน,ชื่อผู้อำนวยการโรงเรียน,เบอร์ติดต่อ ผอ.,ค่าฟ้าเฉลี่ย/เดือน,สถานะดำเนินการของ กฟภ.,ผู้ลงทุน,กลุ่มขนาดติดตั้ง,ชื่อผู้ติดต่อสังกัดสถานศึกษา,เบอร์โทรองค์กรสังกัดสถานศึกษา,เลขที่,วันที่,เลขที่ ศธ,วันที่ตอบกลับ,เลขที่ใบปะหน้า,วันที่ใบปะหน้า,เลขที่หนังสือ,วันที่หนังสือ,เลขที่ ศธ ข้อเสนอ,วันที่ข้อเสนอ,Simulation,ข้อเสนอโครงการ,ข้อเสนอโครงการที่ออกจาก PEA,PEA,Focus,อาจารย์โจ้,check,Latitude,Longitude,chk,statusArr,activityArr,meterArr,รวมKW_PK,ความเข้าใจในโมเดล ESCO (10%),ระดับความร่วมมือของโรงเรียน (10%),การตัดสินใจและอำนาจภายใน (10%),ความพร้อมในการให้ข้อมูล (10%),การค้างค่าไฟฟ้า (10%),หมายเหตุของโรงเรียน,พื้นที่ติดตั้งที่มีอยู่ (10%),สภาพวัสดุมุงหลังคา (10%),สภาพโครงสร้าง (10%),จุดเชื่อมต่อและการเดินสายไฟ (10%),การเข้าถึงหน้างาน (10%),หมายเหตุของพื้นที่,รวมคะแนน,link หนังสือเชิญ,link หนังสือตอบรับข้อเสนอ,link ข้อเสนอโครงการ,
1,410,140,134.95,,โรงเรียนสามพรานวิทยา,ม.5 40/9,ยายชา,สามพราน,นครปฐม,73110,1257,กลาง,สพม.นครปฐม,,กฟก.3,8114,20026762408,,,,,,,,,,,,,,,,,,,62944.72,,SJP,กลางเล็ก,,,,,,,,,,,,,,,,,,,,13.7418629,100.2130566,File original,,,"[{""ca"":""20026762408"",""kw_pk"":""134.95"",""rate"":""8114""}]",134.95,,,,,,,,,,,,,0,,,,
2,721,70,60.8,,โรงเรียนอนุบาลมหาสารคาม,โรงเรียนอนุบาลมหาสารคาม,ตลาด,เมืองมหาสารคาม,มหาสารคาม,44000,2706,ตะวันออกเฉียงเหนือ,สพป.มหาสารคาม,1,กฟฉ.2,8114,20026782162,,,,,,,,,,,,,,,,,,,56707.79,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.1859911,103.2969149,File original,,,,,,,,,,,,,,,,,,,,,
3,841,50,43.76,,โรงเรียนเฉลิมพระเกียรติ 48 พรรษา,5 ม.9,ต้นธง,เมืองลำพูน,ลำพูน,51000,ไม่พบ,เหนือ,มูลนิธิร่วมน้ำใจต้านภัยเอดส์,,กฟน.1,6124,20004482085,,,,,,,,,,,,,,,,,,,49028.56,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,18.54102,98.9442745,File original,,,,,,,,,,,,,,,,,,,,,
4,1130,40,35.33,,โรงเรียนศูนย์พลาญข่อย,ม.2,โนนก่อ,สิรินธร,อุบลราชธานี,34350,ไม่พบ,ตะวันออกเฉียงเหนือ,สช.,,กฟฉ.2,6124,20012456305,,,,,,,,,,,,,,,,,,,59818.03,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,15.0962633,105.4516191,File original,,,,,,,,,,,,,,,,,,,,,
5,205,350,346.4,,โรงเรียนวัดดอนทอง,ม.12,บางตีนเป็ด,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,24000,2891,ตะวันออก,สพป.ฉะเชิงเทรา,1,กฟก.2,4224,20002019033,,,,,,,,,,,,,,,,,,,270661.13,#N/A,SJP,กลางใหญ่,,,,,,,,,,,,,,,,,,,,13.6679384,101.0985695,File original,,,,,,,,,,,,,,,,,,,,,
6,360,70,63.07,,โรงเรียนเทศบาลวัดชุมพลคีรี,117/1 ถ.สวรรค์วิถี,แม่สอด,แม่สอด,ตาก,63110,ไม่พบ,ตะวันตก,เทศบาลนคร,,กฟน.2,4224,20010227705,,,,,,,,,,,,,,,,,,,47694.99,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.7196706,98.5659178,File original,,,,,,,,,,,,,,,,,,,,,
7,373,1620,1616.5,,โรงเรียนเตรียมทหาร,9 หมู่ 10,ศรีกะอาง,บ้านนา,นครนายก,26110,ไม่พบ,กลาง,กองบัญชาการทหารสูงสุด,,กฟก.1,4224,20000426329,,,,,,,,,,,,,,,,,,,1854459.81,#N/A,SJP,ใหญ่มาก,,,,,,,,,,,,,,,,,,,,14.3028513,101.1320385,File original,,,,,,,,,,,,,,,,,,,,,
8,374,380,372.85,,โรงเรียนนายร้อยพระจุลจอมเกล้า,ม.13,พรหมณี,เมืองนครนายก,นครนายก,26000,ไม่พบ,กลาง,กองทัพบก,,,4224,20000555291,,,,,,,,,,,,,,,,,,,272717.03,,SJP,กลางใหญ่,,,,,,,,,,,,,,,,,,,,14.2813364,101.1632975,File original,,,"[{""ca"":""20000555291"",""kw_pk"":""372.85"",""rate"":""4224""},{""ca"":""20000573660"",""kw_pk"":""390.48"",""rate"":""4224""},{""ca"":""20000573672"",""kw_pk"":""60.2"",""rate"":""4224""},{""ca"":""20000555297"",""kw_pk"":""79.9"",""rate"":""3224""},{""ca"":""20000573666"",""kw_pk"":""231.1"",""rate"":""3224""}]",1134.53,,,,,,,,,,,,,0,,,,
9,376,400,390.48,,โรงเรียนนายร้อยพระจุลจอมเกล้า,ตำบลพรหมณี ถ.สุวรรณศร,พรหมณี,เมืองนครนายก,นครนายก,26000,ไม่พบ,กลาง,กองทัพบก,,กฟก.1,4224,20000573660,,,,,,,,,,,,,,,,,,,1001256.78,#N/A,SJP,ใหญ่,,,,,,,,,,,,,,,,,,,,14.2813364,101.1632975,File original,,,,,,,,,,,,,,,,,,,,,
10,378,70,60.2,,โรงเรียนนายร้อยพระจุลจอมเกล้า,ตำบลพรหมณี,พรหมณี,เมืองนครนายก,นครนายก,26000,ไม่พบ,กลาง,กองทัพบก,,กฟก.1,4224,20000573672,,,,,,,,,,,,,,,,,,,104121.69,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,14.2813364,101.1632975,File original,,,,,,,,,,,,,,,,,,,,,
